iteration,cfr_avg_expl,cfr_cur_expl,cfrplus_avg_expl,cfrplus_cur_expl,cfr_seconds,cfrplus_seconds,cfr_zero_regret_frac,cfrplus_zero_regret_frac
2,2.300970804988662,2.6392712587980895,2.332053366017588,1.7856912008788115,0.07827180001186207,0.1384091999498196,0.0,0.5128205128205128
5,1.5035951639504677,1.0052601654093927,1.235735293784975,1.4289744367292114,0.3089624000713229,0.5447645999374799,0.0,0.3269230769230769
10,0.9270185719676689,1.1843429874913478,0.5202440766918717,0.4598661771411816,0.6930151001433842,1.2218685998232104,0.0,0.35805860805860806
20,0.5911623862642286,0.7567490639722595,0.15823768616974257,0.2622402139289347,1.4589399002143182,2.5705785998725332,0.0,0.38461538461538464
50,0.2809145137161596,1.4221896960652645,0.032666846101034874,0.11276148021172408,3.8157438000198454,6.726576299988665,0.0,0.38461538461538464
100,0.1730343119208271,1.3664153914304633,0.01339067013671625,0.048198410046721984,7.786387899890542,13.640341900347266,0.0,0.36996336996337
200,0.09796770011643334,1.3956307164457766,0.005053803943695867,0.026698849619561982,15.964012799842749,27.922509200230706,0.0,0.3708791208791209
500,0.05583653035954246,0.9736262662195362,0.0008881886873798317,0.014607075135939784,40.076574299659114,70.49665659992024,0.0,0.38003663003663
1000,0.039813337746068406,1.3282622968753224,0.0002466773902439767,0.007821487130706545,107.76229300058912,190.89878499927,0.0,0.37637362637362637
2000,0.027920594381974112,1.442721819922579,8.711468435443348e-05,0.0034575230683607378,250.0991187018226,444.46363989892416,0.0,0.37545787545787546
3000,0.02028999448561511,1.7209559513869845,3.2971174366625e-05,0.0028478748628376765,400.54858770238934,711.0392229981371,0.0,0.3772893772893773
4000,0.016677707406261455,1.256024776636849,2.2536016551999438e-05,0.0035902151554978445,550.2655416032649,978.1485273965518,0.0,0.37454212454212454
5000,0.015644291815716166,1.79837890834651,1.4856425704048992e-05,0.0033286458087139065,700.1581962031196,1243.2412796964636,0.0,0.37454212454212454
6000,0.013588627280359977,1.2018735987335933,1.0930902910447071e-05,0.003318673733766507,862.0749858020572,1528.6462544959504,0.0,0.37362637362637363
7000,0.012212896398562822,1.4286709790868537,8.380396549045876e-06,0.0013408558665971154,1023.7757813028875,1812.0076322965324,0.0,0.3772893772893773
8000,0.011564031480976456,1.2842603765792324,6.828687695650815e-06,0.0031952818582445808,1185.9375284028356,2100.821337596746,0.0,0.37454212454212454
9000,0.010627926237058577,1.7042176310604344,5.652631999877866e-06,0.002854210188822537,1326.4733792027691,2350.8075354963657,0.0,0.37454212454212454
10000,0.010439586626094892,1.1011822257999708,4.822529268089237e-06,0.0020583318212524793,1445.20182280289,2560.679300796648,0.0,0.3772893772893773
