,random,always_fold,always_call,rule_based_tight_aggressive,ev_heuristic_v0,CFR10000,CFR+10000,OS-MCCFR10000,ES-MCCFR10000,Average
random,0.0,0.4964,-0.37496,-0.20764,-0.15931,-0.14848,-0.14442,-0.15502,-0.14614,-0.10494624999999999
always_fold,-0.4964,0.0,-1.0,0.0,-0.11752,-0.18272,-0.1875,-0.21578,-0.17396,-0.29673499999999997
always_call,0.37496,1.0,0.0,-0.33396,-0.15282,-0.11043,-0.1075,-0.101,-0.12655,0.05533749999999999
rule_based_tight_aggressive,0.20764,-0.0,0.33396,0.0,-0.08862,0.00224,-0.00013,0.00293,0.01263,0.058831249999999995
ev_heuristic_v0,0.15931,0.11752,0.15282,0.08862,0.0,-0.02059,-0.02333,-0.01856,-0.02122,0.05432125
CFR10000,0.14848,0.18272,0.11043,-0.00224,0.02059,0.0,-0.0003,0.00183,-0.00037,0.0576425
CFR+10000,0.14442,0.1875,0.1075,0.00013,0.02333,0.0003,0.0,0.00215,-0.00018,0.05814375
OS-MCCFR10000,0.15502,0.21578,0.101,-0.00293,0.01856,-0.00183,-0.00215,0.0,-0.00307,0.0600475
ES-MCCFR10000,0.14614,0.17396,0.12655,-0.01263,0.02122,0.00037,0.00018,0.00307,0.0,0.05735749999999999
Max,0.37496,1.0,0.33396,0.08862,0.02333,0.00224,0.00018,0.00307,0.01263,
